id,song,artist,album,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7dS5EaCoMnN7DzlpT6aRn2,Take Me To Church,Hozier,Hozier (Deluxe),audio_features,0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945
2V4bv1fNWfTcyRJKmej6Sj,Cooler Than Me - Single Mix,"Mike Posner, Gigamesh",31 Minutes to Takeoff,audio_features,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,audio_features,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
3gbBpTdY8lnQwqxNCcf795,Pompeii,Bastille,Bad Blood,audio_features,0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",audio_features,0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.405,0.758,100.024
7wMq5n8mYSKlQIGECKUgTX,Hall of Fame (feat. will.i.am),"The Script, will.i.am",#3 Deluxe Version,audio_features,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786
78W8wiUIlQ2SnWY9TVowKZ,Back Where I Belong (feat. Avicii),"Otto Knows, Avicii",Back Where I Belong (feat. Avicii),audio_features,0.497,0.865,0,-3.19,1,0.0644,0.0306,0.0679,0.443,0.595,125.96
2jcPoPin36hyNRSi4ZsqeB,The Heart Wants What It Wants,Selena Gomez,The Heart Wants What It Wants,audio_features,0.616,0.789,7,-4.874,0,0.0377,0.053,0,0.142,0.621,83.066
2CEgGE6aESpnmtfiZwYlbV,Dynamite,Taio Cruz,The Rokstarr Hits Collection,audio_features,0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975
0tBRo4P60DgKmg4jt48upm,Bumpy Ride,Mohombi,Bumpy Ride,audio_features,0.709,0.854,0,-4.447,0,0.0399,0.047,0,0.0724,0.826,105.074
1kAZhbcsXqfUjnVeqPywn2,Danza Kuduro (feat. Don Omar),"Lucenzo, Don Omar",Danza Kuduro (feat. Don Omar),audio_features,0.706,0.89,0,-6.575,1,0.0847,0.0855,0,0.0465,0.896,130.051
2N2QvMYwyYHE8V4KZbbG4i,Syypää sun hymyyn (feat. Yasmine Yamajako),"Cheek, Yasmine Yamajako",Sokka irti,audio_features,0.472,0.815,9,-4.002,0,0.319,0.171,0,0.265,0.81,98.017
0ltBH1JNzSvQJPjJpvTu9B,Whistle,Flo Rida,Whistle,audio_features,0.754,0.933,0,-5.786,1,0.0448,0.0199,0,0.297,0.75,103.992
5HbCnVLXRyZVxnreOPgJCK,Girlfriend,Avril Lavigne,The Best Damn Thing,audio_features,0.56,0.959,7,-2.433,1,0.102,0.000738,0.000206,0.209,0.67,163.983
4NFhtFE68cXUrfbne8JE2c,Baby,"Justin Bieber, Ludacris",Baby,audio_features,0.463,0.854,8,-5.386,1,0.32,0.0428,0,0.0922,0.567,65.038
5HE3z4Ew7wZ91l3ZOpGKa4,I Cry,Flo Rida,Wild Ones (Deluxe),audio_features,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035
5L9THbmMKB6ZlHlMgzaXHf,Coconut Tree,"Mohombi, Nicole Scherzinger",MoveMeant (International),audio_features,0.687,0.855,7,-5.341,0,0.0416,0.0486,0,0.233,0.647,130.029
